symbol,fundingTime,fundingRate,settlement
BTCUSDT,2019-09-10 08:00:00,0.0001,USDT
BTCUSDT,2019-09-10 16:00:00,0.0001,USDT
BTCUSDT,2019-09-11 00:00:00,0.0001,USDT
BTCUSDT,2019-09-11 08:00:00,0.0001,USDT
BTCUSDT,2019-09-11 16:00:00,0.0001,USDT
BTCUSDT,2019-09-12 00:00:00,0.0001,USDT
BTCUSDT,2019-09-12 08:00:00,0.0001,USDT
BTCUSDT,2019-09-12 16:00:00,0.0001,USDT
BTCUSDT,2019-09-13 00:00:00,0.0001,USDT
BTCUSDT,2019-09-13 08:00:00,0.0001,USDT
BTCUSDT,2019-09-13 16:00:00,0.0001,USDT
BTCUSDT,2019-09-14 00:00:00,0.0001,USDT
BTCUSDT,2019-09-14 08:00:00,0.0001,USDT
BTCUSDT,2019-09-14 16:00:00,0.0001,USDT
BTCUSDT,2019-09-15 00:00:00,0.0001,USDT
BTCUSDT,2019-09-15 08:00:00,0.0001,USDT
BTCUSDT,2019-09-15 16:00:00,0.0001,USDT
BTCUSDT,2019-09-16 00:00:00,0.0001,USDT
BTCUSDT,2019-09-16 08:00:00,0.0001,USDT
BTCUSDT,2019-09-16 16:00:00,0.0001,USDT
BTCUSDT,2019-09-17 00:00:00,0.0001,USDT
BTCUSDT,2019-09-17 08:00:00,0.0001,USDT
BTCUSDT,2019-09-17 16:00:00,0.0001,USDT
BTCUSDT,2019-09-18 00:00:00,0.0001,USDT
BTCUSDT,2019-09-18 08:00:00,0.0001,USDT
BTCUSDT,2019-09-18 16:00:00,0.0001,USDT
BTCUSDT,2019-09-19 00:00:00,0.0001,USDT
BTCUSDT,2019-09-19 08:00:00,0.0001,USDT
BTCUSDT,2019-09-19 16:00:00,0.0001,USDT
BTCUSDT,2019-09-20 00:00:00,0.0001,USDT
BTCUSDT,2019-09-20 08:00:00,0.0001,USDT
BTCUSDT,2019-09-20 16:00:00,0.0001,USDT
BTCUSDT,2019-09-21 00:00:00,0.0001,USDT
BTCUSDT,2019-09-21 08:00:00,0.0001,USDT
BTCUSDT,2019-09-21 16:00:00,0.0001,USDT
BTCUSDT,2019-09-22 00:00:00,0.0001,USDT
BTCUSDT,2019-09-22 08:00:00,0.0001,USDT
BTCUSDT,2019-09-22 16:00:00,0.0001,USDT
BTCUSDT,2019-09-23 00:00:00,0.0001,USDT
BTCUSDT,2019-09-23 08:00:00,0.0001,USDT
BTCUSDT,2019-09-23 16:00:00,0.0001,USDT
BTCUSDT,2019-09-24 00:00:00,0.0001,USDT
BTCUSDT,2019-09-24 08:00:00,0.0001,USDT
BTCUSDT,2019-09-24 16:00:00,0.0001,USDT
BTCUSDT,2019-09-25 00:00:00,0.0001,USDT
BTCUSDT,2019-09-25 08:00:00,0.0001,USDT
BTCUSDT,2019-09-25 16:00:00,0.0001,USDT
BTCUSDT,2019-09-26 00:00:00,0.0001,USDT
BTCUSDT,2019-09-26 08:00:00,0.0001,USDT
BTCUSDT,2019-09-26 16:00:00,0.0001,USDT
BTCUSDT,2019-09-27 00:00:00,0.0001,USDT
BTCUSDT,2019-09-27 08:00:00,0.0001,USDT
BTCUSDT,2019-09-27 16:00:00,0.0001,USDT
BTCUSDT,2019-09-28 00:00:00,0.0001,USDT
BTCUSDT,2019-09-28 08:00:00,0.0001,USDT
BTCUSDT,2019-09-28 16:00:00,0.0001,USDT
BTCUSDT,2019-09-29 00:00:00,0.0001,USDT
BTCUSDT,2019-09-29 08:00:00,0.0001,USDT
BTCUSDT,2019-09-29 16:00:00,0.0001,USDT
BTCUSDT,2019-09-30 00:00:00,0.0001,USDT
BTCUSDT,2019-09-30 08:00:00,0.0001,USDT
